card_id,member_id,amount,postcode,pos_id,transaction_dt,status
342679959520647,328980632419725,2594351.0,74854,971609959959114,2018-02-18 10:00:03,GENUINE
342679959520647,328980632419725,4360191.0,30581,415174333568110,2018-10-18 07:06:06,GENUINE
342679959520647,328980632419725,4.05440443E8,25978,765680568892305,2018-08-20 13:52:44,FRAUD
342679959520647,328980632419725,9091524.0,25978,765680568892305,2018-08-20 13:52:44,GENUINE
342679959520647,328980632419725,9317629.0,32013,178335670124175,2018-07-25 15:52:38,GENUINE
4206756012407095,329169857298623,1385253.0,74534,736577656328527,2018-08-08 15:32:56,GENUINE
4206756012407095,329169857298623,4772769.0,82324,589466485631421,2018-11-08 14:27:32,GENUINE
4206756012407095,329169857298623,5342329.0,92281,839067283421325,2018-02-12 11:26:25,GENUINE
4206756012407095,329169857298623,2375525.0,81656,455975279553063,2018-02-26 12:22:35,GENUINE
6222849245970594,329613103057828,5930937.0,32744,986224656001461,2018-03-05 04:21:45,GENUINE
6222849245970594,329613103057828,9397352.0,95428,637835654195594,2018-06-08 10:31:05,GENUINE
6222849245970594,329613103057828,3461727.0,11937,508282558952285,2018-07-09 22:20:24,GENUINE
6222849245970594,329613103057828,4278913.0,45631,120157505253875,2018-09-16 09:33:40,GENUINE
6222849245970594,329613103057828,6657404.0,97015,739521036621252,2018-08-18 11:47:23,GENUINE
6222849245970594,329613103057828,5362307.0,56033,119475177046291,2018-08-29 03:28:06,GENUINE
342016727481601,329679840450294,2347359.0,48631,518945552275342,2018-09-03 05:19:37,GENUINE
342016727481601,329679840450294,2636421.0,13313,464748243967825,2018-08-05 06:03:38,GENUINE
342016727481601,329679840450294,8159152.0,16041,210062530645852,2018-07-06 23:19:05,GENUINE
342016727481601,329679840450294,6816677.0,86052,686334664931043,2018-09-13 16:31:12,GENUINE
342016727481601,329679840450294,490188.0,43945,419863423994702,2018-10-16 13:14:10,GENUINE
342016727481601,329679840450294,9864451.0,25202,623912628208105,2018-10-31 11:20:09,GENUINE
342684196338179,329884605707231,8295398.0,43412,798438711198011,2018-06-02 07:59:20,GENUINE
342684196338179,329884605707231,1914658.0,99720,62115922619484,2018-06-05 10:44:55,GENUINE
342684196338179,329884605707231,9845082.0,15672,270560627834797,2018-02-17 19:02:56,GENUINE
342684196338179,329884605707231,7028283.0,38744,358241691617447,2018-07-19 02:08:02,GENUINE
342684196338179,329884605707231,2957748.0,46777,985477611995911,2018-11-22 17:07:16,GENUINE
342684196338179,329884605707231,1948464.0,61488,400605011944063,2018-02-23 11:51:34,GENUINE
342684196338179,329884605707231,2473572.0,24920,998618227893315,2018-11-23 21:31:47,GENUINE
342684196338179,329884605707231,1038927.0,70081,854770716302594,2018-11-25 09:24:52,GENUINE
377037030364630,331615799846157,6783897.0,55946,90556966597424,2018-06-08 09:46:14,GENUINE
377037030364630,331615799846157,9573051.0,66440,722443794165158,2018-06-11 09:32:24,GENUINE
377037030364630,331615799846157,2079447.0,58649,249153205271329,2018-08-11 23:32:31,GENUINE
377037030364630,331615799846157,2596699.0,41804,68686382435229,2018-09-17 20:41:54,GENUINE
377037030364630,331615799846157,447870.0,98380,557577645362199,2018-06-21 04:17:09,GENUINE
377037030364630,331615799846157,7927241.0,19365,619338176722354,2018-10-25 09:33:15,GENUINE
377037030364630,331615799846157,2340669.0,37137,849964086431336,2018-05-27 09:56:43,GENUINE
377037030364630,331615799846157,7830153.0,65720,551834168330085,2018-03-30 08:25:19,GENUINE
5348260893635482,332208558426670,7829841.0,11356,474351154316139,2018-02-12 22:57:42,GENUINE
5348260893635482,332208558426670,4945103.0,38944,938511476087253,2018-05-06 19:02:06,GENUINE
5348260893635482,332208558426670,8505614.0,28423,158363754386649,2018-08-07 20:51:32,GENUINE
5348260893635482,332208558426670,7256383.0,83540,17107420434016,2018-07-27 20:57:24,GENUINE
6011624834798192,333302923096324,2076244.0,53003,548812394716572,2018-06-01 23:01:04,GENUINE
6011624834798192,333302923096324,9137165.0,49452,19938798079676,2018-03-08 18:20:11,GENUINE
6011624834798192,333302923096324,1859112.0,12423,961090323824844,2018-04-10 08:19:27,GENUINE
6011624834798192,333302923096324,8704055.0,51441,977581253285277,2018-06-14 21:16:16,GENUINE
6011624834798192,333302923096324,8541781.0,30024,424252638325729,2018-08-17 17:06:00,GENUINE
6011624834798192,333302923096324,3756715.0,91731,778675035204513,2018-06-20 05:51:28,GENUINE
6011624834798192,333302923096324,8932129.0,14785,901272937244255,2018-06-23 19:05:03,GENUINE
6011624834798192,333302923096324,5543292.0,38582,983535345315674,2018-11-28 09:55:54,GENUINE
345082162474452,335452580549855,3329359.0,41810,904865024004437,2018-10-04 21:38:04,GENUINE
345082162474452,335452580549855,4682679.0,21904,395938234063870,2018-04-05 02:43:39,GENUINE
345082162474452,335452580549855,6529866.0,21904,395938234063870,2018-04-05 08:42:30,GENUINE
345082162474452,335452580549855,187259.0,41397,804697894058268,2018-03-13 03:44:52,GENUINE
345082162474452,335452580549855,7960915.0,39475,173763704892957,2018-05-16 09:17:43,GENUINE
345082162474452,335452580549855,730902.0,98950,144419183531526,2018-04-20 12:02:28,GENUINE
345082162474452,335452580549855,4692013.0,53574,258984058612623,2018-11-21 12:42:44,GENUINE
345082162474452,335452580549855,4072259.0,56629,268719374752274,2018-06-27 17:16:53,GENUINE
6566718331696237,335526117403543,1754405.0,48880,172521878612232,2018-05-01 09:42:02,GENUINE
6566718331696237,335526117403543,9195420.0,24167,234043873872966,2018-10-06 06:31:44,GENUINE
6566718331696237,335526117403543,2858371.0,70421,707796066941926,2018-03-19 04:02:03,GENUINE
6566718331696237,335526117403543,7212738.0,42349,276606780097310,2018-08-22 20:27:13,GENUINE
6566718331696237,335526117403543,6225797.0,13143,9017157063867,2018-06-25 16:41:15,GENUINE
6566718331696237,335526117403543,6417938.0,49881,904572792407956,2018-06-27 05:19:12,GENUINE
6566718331696237,335526117403543,4221442.0,59532,850411439041271,2018-03-30 09:55:02,GENUINE
6011015243296359,338015112354585,6229177.0,41265,703561228671154,2018-05-15 14:36:20,GENUINE
6011015243296359,338015112354585,4252819.0,21532,759341409130012,2018-08-18 03:33:59,GENUINE
6011015243296359,338015112354585,3987605.0,41238,216002390553134,2018-11-23 05:49:49,GENUINE
6011015243296359,338015112354585,1039180.0,16420,602866953562040,2018-04-27 22:43:03,GENUINE
6011015243296359,338015112354585,2850862.0,42127,899654725334140,2018-05-27 06:57:18,GENUINE
6228529148302558,340482204458904,3417240.0,18617,892755868633653,2018-12-02 22:20:00,GENUINE
6228529148302558,340482204458904,4726335.0,39165,108120255806088,2018-02-12 14:44:17,GENUINE
6228529148302558,340482204458904,5231551.0,32625,749715901932711,2018-10-14 20:07:06,GENUINE
6228529148302558,340482204458904,8445135.0,27887,187464430298735,2018-07-24 03:59:33,GENUINE
6228529148302558,340482204458904,6108563.0,83634,96896330855668,2018-06-28 21:41:25,GENUINE
6228529148302558,340482204458904,2297449.0,31831,41771338240085,2018-05-30 18:41:09,GENUINE
5554222726753766,340979314927385,6321924.0,56550,849165857693201,2018-09-03 20:16:44,GENUINE
5554222726753766,340979314927385,8176721.0,51342,971905945089041,2018-11-19 17:21:06,GENUINE
5554222726753766,340979314927385,2400795.0,38844,191760648170306,2018-08-20 13:07:53,GENUINE
5554222726753766,340979314927385,4987135.0,95637,949673296991682,2018-04-29 23:18:40,GENUINE
6221476838539775,342935664009828,3344892.0,97389,793813833859721,2018-11-04 11:01:42,GENUINE
6221476838539775,342935664009828,9768788.0,66070,487552342617811,2018-10-07 11:41:07,GENUINE
6221476838539775,342935664009828,3141200.0,18461,970349202265599,2018-08-17 04:23:27,GENUINE
6221476838539775,342935664009828,236.0,27928,800640191587778,2018-08-17 04:23:32,FRAUD
6221476838539775,342935664009828,4309986.0,42437,546993617978548,2018-11-27 13:44:47,GENUINE
6221476838539775,342935664009828,4529074.0,87037,703888571880456,2018-04-30 11:16:22,GENUINE
6221476838539775,342935664009828,8627278.0,78588,136874133869405,2018-07-30 12:30:09,GENUINE
349143706735646,343824445342591,2326757.0,95559,136990398337674,2018-09-04 09:44:09,GENUINE
349143706735646,343824445342591,4001218.0,25801,310484478284125,2018-02-12 19:08:48,GENUINE
349143706735646,343824445342591,3869106.0,16750,420573384221225,2018-11-07 22:45:34,GENUINE
349143706735646,343824445342591,7546641.0,35548,297105186542025,2018-08-09 10:14:19,GENUINE
349143706735646,343824445342591,3409937.0,55013,301714206629165,2018-05-11 18:39:03,GENUINE
349143706735646,343824445342591,8227928.0,62091,13471851500218,2018-02-19 20:23:25,GENUINE
349143706735646,343824445342591,7912187.0,48852,879443087425896,2018-03-19 04:46:54,GENUINE
372183631158095,344443443583077,2133872.0,75933,563500813352982,2018-10-04 03:41:32,GENUINE
372183631158095,344443443583077,7253691.0,87068,983953248362108,2018-04-05 01:13:57,GENUINE
372183631158095,344443443583077,6261371.0,82615,503025752531411,2018-11-12 23:52:13,GENUINE
372183631158095,344443443583077,2839753.0,59733,815039668507477,2018-06-15 11:28:31,GENUINE
372183631158095,344443443583077,8615507.0,72301,655062979147204,2018-09-17 05:44:46,GENUINE
372183631158095,344443443583077,1661921.0,38006,508973733247862,2018-06-20 08:50:54,GENUINE
372183631158095,344443443583077,9304705.0,60007,974716996510902,2018-08-25 01:31:59,GENUINE
372183631158095,344443443583077,6013007.0,30573,676557552041346,2018-10-26 09:28:38,GENUINE
6490724104698922,345759176361107,9160063.0,93667,496744129935587,2018-05-03 02:49:07,GENUINE
6490724104698922,345759176361107,88290.0,64636,205587169072274,2018-07-05 19:39:25,GENUINE
6490724104698922,345759176361107,2002693.0,49733,615548114327543,2018-07-09 03:39:00,GENUINE
6490724104698922,345759176361107,5046915.0,95444,576399541645430,2018-08-14 21:48:58,GENUINE
6490724104698922,345759176361107,8726296.0,28521,594944953394545,2018-10-19 17:29:29,GENUINE
